#HEADER
#TITLES
 , ,GYR@bridge_44.RN_2
204,7431.7600,11.62738
205,7431.7800,11.70242
206,7431.8000,11.77747
207,7431.8200,11.84783
208,7431.8400,11.92756
209,7431.8600,12.00261
210,7431.8800,12.06827
211,7431.9000,12.02137
212,7431.9200,12.0073
213,7431.9400,11.92287
214,7431.9600,11.92756
215,7431.9800,11.88066
216,7432.0000,11.89473
217,7432.0200,11.99323
218,7432.0400,12.05889
219,7432.0600,12.06358
220,7432.0800,12.1527
221,7432.1000,12.26996
222,7432.1200,12.38722
223,7432.1400,12.43412
224,7432.1600,12.47633
225,7432.1800,12.6358
226,7432.2000,12.7859
227,7432.2200,12.85625
228,7432.2400,12.8797
229,7432.2600,13.01103
230,7432.2800,13.10953
231,7432.3000,13.23617
232,7432.3200,13.34405
233,7432.3400,13.50352
234,7432.3600,13.67237
235,7432.3800,13.74273
236,7432.4000,13.7052
237,7432.4200,13.87406
238,7432.4400,14.03353
239,7432.4600,14.22114
240,7432.4800,14.38061
241,7432.5000,14.46504
242,7432.5200,14.40876
243,7432.5400,14.32902
244,7432.5600,14.41345
245,7432.5800,14.41345
246,7432.6000,14.44159
247,7432.6200,14.5354
248,7432.6400,14.6808
249,7432.6600,14.82151
250,7432.6800,14.89655
251,7432.7000,15.02319
252,7432.7200,15.06541
253,7432.7400,15.03726
254,7432.7600,15.07479
255,7432.7800,14.99974
256,7432.8000,14.86372
257,7432.8200,14.76522
258,7432.8400,14.70894
259,7432.8600,14.83089
260,7432.8800,14.79337
261,7432.9000,14.77929
262,7432.9200,14.77929
263,7432.9400,14.69018
264,7432.9600,14.47442
265,7432.9800,14.21645
266,7433.0000,14.10857
267,7433.0200,14.19769
268,7433.0400,14.31495
269,7433.0600,14.52133
270,7433.0800,14.86841
271,7433.1000,15.17797
272,7433.1200,15.40311
273,7433.1400,15.62825
274,7433.1600,15.85808
275,7433.1800,15.95188
276,7433.2000,15.95188
277,7433.2200,15.9894
278,7433.2400,16.0879
279,7433.2600,16.17233
280,7433.2800,16.29897
281,7433.3000,16.4772
282,7433.3200,16.70234
283,7433.3400,16.85243
284,7433.3600,16.98376
285,7433.3800,17.14323
286,7433.4000,17.26518
287,7433.4200,17.2089
288,7433.4400,17.19482
289,7433.4600,17.25111
290,7433.4800,17.34023
291,7433.5000,17.34023
292,7433.5200,17.33554
293,7433.5400,17.38713
294,7433.5600,17.37775
295,7433.5800,17.43403
296,7433.6000,17.58412
297,7433.6200,17.63572
298,7433.6400,17.6451
299,7433.6600,17.75767
300,7433.6800,17.92183
301,7433.7000,17.92652
302,7433.7200,17.92652
303,7433.7400,17.84678
304,7433.7600,17.85616
305,7433.7800,17.77643
306,7433.8000,17.64979
307,7433.8200,17.64979
308,7433.8400,17.70607
309,7433.8600,17.78581
310,7433.8800,17.84209
311,7433.9000,18.02971
312,7433.9200,18.25953
313,7433.9400,18.55034
314,7433.9600,18.78485
315,7433.9800,18.87397
316,7434.0000,18.83645
317,7434.0200,18.71919
318,7434.0400,18.59724
319,7434.0600,18.58317
320,7434.0800,18.63945
321,7434.1000,18.77078
322,7434.1200,18.97716
323,7434.1400,19.26327
324,7434.1600,19.35239
325,7434.1800,19.38053
326,7434.2000,19.38522
327,7434.2200,19.31486
328,7434.2400,19.30548
329,7434.2600,19.30079
330,7434.2800,19.44619
331,7434.3000,19.69009
332,7434.3200,19.90585
333,7434.3400,19.99027
334,7434.3600,20.04656
335,7434.3800,20.04656
336,7434.4000,19.95275
337,7434.4200,19.83549
338,7434.4400,19.82142
339,7434.4600,19.82142
340,7434.4800,19.82611
341,7434.5000,19.737
342,7434.5200,19.52593
343,7434.5400,19.30079
344,7434.5600,19.17884
345,7434.5800,19.08973
346,7434.6000,19.09442
347,7434.6200,19.2492
348,7434.6400,19.51186
349,7434.6600,19.83549
350,7434.6800,20.14037
351,7434.7000,20.29046
352,7434.7200,20.36081
353,7434.7400,20.52497
354,7434.7600,20.67976
355,7434.7800,20.78294
356,7434.8000,20.99401
357,7434.8200,21.29419
358,7434.8400,21.51933
359,7434.8600,21.62252
360,7434.8800,21.64597
361,7434.9000,21.65066
362,7434.9200,21.69287
363,7434.9400,21.79606
364,7434.9600,21.89925
365,7434.9800,21.94615
366,7435.0000,21.94146
367,7435.0200,21.94146
368,7435.0400,22.02589
369,7435.0600,22.14783
370,7435.0800,22.19474
371,7435.1000,22.3589
372,7435.1200,22.39173
373,7435.1400,22.47147
374,7435.1600,22.39173
375,7435.1800,22.2135
376,7435.2000,22.08217
377,7435.2200,21.92739
378,7435.2400,21.76792
379,7435.2600,21.72101
380,7435.2800,21.81482
381,7435.3000,22.01181
382,7435.3200,22.19474
383,7435.3400,22.30262
384,7435.3600,22.40111
385,7435.3800,22.47147
386,7435.4000,22.59811
387,7435.4200,22.64032
388,7435.4400,22.75758
389,7435.4600,22.96865
390,7435.4800,23.15626
391,7435.5000,23.19847
392,7435.5200,23.34856
393,7435.5400,23.60184
394,7435.5600,23.76601
395,7435.5800,23.93486
396,7435.6000,24.08026
397,7435.6200,24.17407
398,7435.6400,24.32885
399,7435.6600,24.43673
400,7435.6800,24.43673
401,7435.7000,24.34292
402,7435.7200,24.28663
403,7435.7400,24.30071
404,7435.7600,24.40389
405,7435.7800,24.28194
406,7435.8000,24.15531
407,7435.8200,23.93486
408,7435.8400,23.83167
409,7435.8600,23.85043
410,7435.8800,23.85981
411,7435.9000,24.00052
412,7435.9200,24.19283
413,7435.9400,24.29132
414,7435.9600,24.28663
415,7435.9800,24.21159
416,7436.0000,24.22566
417,7436.0200,24.33354
418,7436.0400,24.55399
419,7436.0600,24.87762
420,7436.0800,25.18249
421,7436.1000,25.4217
422,7436.1200,25.64684
423,7436.1400,25.67967
424,7436.1600,25.73595
425,7436.1800,25.75471
426,7436.2000,25.87197
427,7436.2200,25.90012
428,7436.2400,25.82507
429,7436.2600,25.75941
430,7436.2800,25.67967
431,7436.3000,25.68436
432,7436.3200,25.60462
433,7436.3400,25.59524
434,7436.3600,25.50144
435,7436.3800,25.47329
436,7436.4000,25.614
437,7436.4200,25.83445
438,7436.4400,26.08773
439,7436.4600,26.2472
440,7436.4800,26.3457
441,7436.5000,26.34101
442,7436.5200,26.28472
443,7436.5400,26.3457
444,7436.5600,26.35508
445,7436.5800,26.43012
446,7436.6000,26.56614
447,7436.6200,26.72562
448,7436.6400,26.77721
449,7436.6600,26.85226
450,7436.6800,26.96482
451,7436.7000,27.08677
452,7436.7200,27.18996
453,7436.7400,27.21341
454,7436.7600,27.22279
455,7436.7800,27.14775
456,7436.8000,27.06332
457,7436.8200,27.11961
458,7436.8400,27.23687
459,7436.8600,27.3635
460,7436.8800,27.36819
461,7436.9000,27.27908
462,7436.9200,27.3635
463,7436.9400,27.43386
464,7436.9600,27.54643
465,7436.9800,27.79033
466,7437.0000,28.02015
467,7437.0200,28.1421
468,7437.0400,28.23122
469,7437.0600,28.31565
470,7437.0800,28.42822
471,7437.1000,28.46574
472,7437.1200,28.38131
473,7437.1400,28.29219
474,7437.1600,28.32503
475,7437.1800,28.49857
476,7437.2000,28.7284
477,7437.2200,28.94415
478,7437.2400,29.113
479,7437.2600,28.97699
480,7437.2800,28.79875
481,7437.3000,28.65804
482,7437.3200,28.60176
483,7437.3400,28.68149
484,7437.3600,28.60645
485,7437.3800,28.50795
486,7437.4000,28.31565
487,7437.4200,28.16086
488,7437.4400,28.16086
489,7437.4600,28.2875
490,7437.4800,28.583
491,7437.5000,28.84097
492,7437.5200,29.03796
493,7437.5400,29.23026
494,7437.5600,29.41319
495,7437.5800,29.71337
496,7437.6000,29.91975
497,7437.6200,30.10736
498,7437.6400,30.30905
499,7437.6600,30.43568
500,7437.6800,30.43099
501,7437.7000,30.49666
502,7437.7200,30.51073
503,7437.7400,30.43568
504,7437.7600,30.27152
505,7437.7800,30.21524
506,7437.8000,30.21993
507,7437.8200,30.13081
508,7437.8400,29.86815
509,7437.8600,29.6524
510,7437.8800,29.69461
511,7437.9000,29.69461
512,7437.9200,29.82594
513,7437.9400,30.01824
514,7437.9600,29.9432
515,7437.9800,29.93382
516,7438.0000,30.14019
517,7438.0200,30.42161
518,7438.0400,30.51542
519,7438.0600,30.72649
520,7438.0800,30.95631
521,7438.1000,31.26119
522,7438.1200,31.49101
523,7438.1400,31.65518
524,7438.1600,31.67394
525,7438.1800,31.72553
526,7438.2000,31.87093
527,7438.2200,31.97881
528,7438.2400,31.97412
529,7438.2600,31.90376
530,7438.2800,32.02102
531,7438.3000,32.00695
532,7438.3200,31.9366
533,7438.3400,31.86155
534,7438.3600,31.82872
535,7438.3800,31.82872
536,7438.4000,31.7865
537,7438.4200,31.75836
538,7438.4400,31.92253
539,7438.4600,32.09607
540,7438.4800,32.35873
541,7438.5000,32.5651
542,7438.5200,32.62608
543,7438.5400,32.68236
544,7438.5600,32.83245
545,7438.5800,32.83714
546,7438.6000,32.68705
547,7438.6200,32.59325
548,7438.6400,32.47599
549,7438.6600,32.57449
550,7438.6800,32.79493
551,7438.7000,33.006
552,7438.7200,33.23582
553,7438.7400,33.35777
554,7438.7600,33.35777
555,7438.7800,33.45627
556,7438.8000,33.61105
557,7438.8200,33.64388
558,7438.8400,33.75645
559,7438.8600,33.85964
560,7438.8800,34.13168
561,7438.9000,34.3662
562,7438.9200,34.50222
563,7438.9400,34.61479
564,7438.9600,34.52098
565,7438.9800,34.33805
566,7439.0000,34.23487
567,7439.0200,34.24894
568,7439.0400,34.43186
569,7439.0600,34.65231
570,7439.0800,34.89621
571,7439.1000,35.21984
572,7439.1200,35.48719
573,7439.1400,35.66074
574,7439.1600,35.60914
575,7439.1800,35.44498
576,7439.2000,35.32303
577,7439.2200,35.16825
578,7439.2400,35.00878
579,7439.2600,34.85868
580,7439.2800,34.68514
581,7439.3000,34.48346
582,7439.3200,34.33337
583,7439.3400,34.2208
584,7439.3600,34.11292
585,7439.3800,34.01442
586,7439.4000,34.10823
587,7439.4200,34.22549
588,7439.4400,34.43186
589,7439.4600,34.76957
590,7439.4800,35.05099
591,7439.5000,35.36993
592,7439.5200,35.69357
593,7439.5400,35.90932
594,7439.5600,35.92339
595,7439.5800,35.8718
596,7439.6000,35.85773
597,7439.6200,35.89994
598,7439.6400,35.72171
599,7439.6600,35.45905
600,7439.6800,35.32772
601,7439.7000,35.46843
602,7439.7200,35.55755
603,7439.7400,35.64197
604,7439.7600,35.56224
605,7439.7800,35.41684
606,7439.8000,35.20577
607,7439.8200,35.1917
608,7439.8400,35.36055
609,7439.8600,35.51534
610,7439.8800,35.66542
611,7439.9000,35.88118
612,7439.9200,36.12039
613,7439.9400,36.28455
614,7439.9600,36.33614
615,7439.9800,36.48624
616,7440.0000,36.71606
617,7440.0200,36.98341
618,7440.0400,37.17103
619,7440.0600,37.232
620,7440.0800,37.10536
621,7440.1000,37.10067
622,7440.1200,36.97403
623,7440.1400,36.87553
624,7440.1600,36.78173
625,7440.1800,36.50969
626,7440.2000,36.47686
627,7440.2200,36.66916
628,7440.2400,36.9412
629,7440.2600,37.25076
630,7440.2800,37.49935
631,7440.3000,37.71042
632,7440.3200,37.78547
633,7440.3400,37.90272
634,7440.3600,37.86051
635,7440.3800,37.69166
636,7440.4000,37.50404
637,7440.4200,37.33519
638,7440.4400,37.35395
639,7440.4600,37.31174
640,7440.4800,37.31174
641,7440.5000,37.31174
642,7440.5200,37.52749
643,7440.5400,37.95901
644,7440.5600,38.39521
645,7440.5800,38.54061
646,7440.6000,38.70946
647,7440.6200,38.92522
648,7440.6400,39.20195
649,7440.6600,39.35204
650,7440.6800,39.43647
651,7440.7000,39.33797
652,7440.7200,39.0331
653,7440.7400,38.91584
654,7440.7600,39.00964
655,7440.7800,39.06124
656,7440.8000,38.97212
657,7440.8200,38.91115
658,7440.8400,38.9346
659,7440.8600,39.06593
660,7440.8800,38.97681
661,7440.9000,38.85955
662,7440.9200,38.90177
663,7440.9400,38.99088
664,7440.9600,39.23947
665,7440.9800,39.40363
666,7441.0000,39.52559
667,7441.0200,39.67099
668,7441.0400,39.72727
669,7441.0600,39.79762
670,7441.0800,39.88674
671,7441.1000,40.02745
672,7441.1200,40.0509
673,7441.1400,40.16816
674,7441.1600,40.2479
675,7441.1800,40.23852
676,7441.2000,40.41675
677,7441.2200,40.77791
678,7441.2400,41.20004
679,7441.2600,41.46739
680,7441.2800,41.43925
681,7441.3000,41.34544
682,7441.3200,41.45332
683,7441.3400,41.57527
684,7441.3600,41.72536
685,7441.3800,41.92704
686,7441.4000,42.19909
687,7441.4200,42.2882
688,7441.4400,42.26944
689,7441.4600,42.30227
690,7441.4800,42.21315
691,7441.5000,42.29758
692,7441.5200,42.32572
693,7441.5400,42.47581
694,7441.5600,42.68219
695,7441.5800,42.81352
696,7441.6000,42.70564
697,7441.6200,42.56962
698,7441.6400,42.44767
699,7441.6600,42.36794
700,7441.6800,42.16625
701,7441.7000,42.08183
702,7441.7200,42.00209
703,7441.7400,41.84262
704,7441.7600,41.57527
705,7441.7800,41.28447
706,7441.8000,41.12499
707,7441.8200,41.12499
708,7441.8400,41.12499
709,7441.8600,41.22818
710,7441.8800,41.3642
711,7441.9000,41.49084
712,7441.9200,41.57527
713,7441.9400,41.96926
714,7441.9600,42.31634
715,7441.9800,42.50396
716,7442.0000,42.59776
717,7442.0200,42.74316
718,7442.0400,42.81821
719,7442.0600,42.87918
720,7442.0800,42.99644
721,7442.1000,43.02459
722,7442.1200,43.01051
723,7442.1400,42.88857
724,7442.1600,42.72909
725,7442.1800,42.7244
726,7442.2000,42.9214
727,7442.2200,43.21689
728,7442.2400,43.43734
729,7442.2600,43.68592
730,7442.2800,43.92982
731,7442.3000,44.09399
732,7442.3200,44.11275
733,7442.3400,44.04708
734,7442.3600,44.09867
735,7442.3800,44.40824
736,7442.4000,44.59585
737,7442.4200,44.70842
738,7442.4400,44.76471
739,7442.4600,44.96639
740,7442.4800,45.12586
741,7442.5000,45.29472
742,7442.5200,45.35569
743,7442.5400,45.44481
744,7442.5600,45.44012
745,7442.5800,45.51985
746,7442.6000,45.4964
747,7442.6200,45.36976
748,7442.6400,45.17746
749,7442.6600,44.87727
750,7442.6800,44.57709
751,7442.7000,44.2347
752,7442.7200,44.12682
753,7442.7400,44.18779
754,7442.7600,44.42231
755,7442.7800,44.80692
756,7442.8000,45.0602
757,7442.8200,45.22905
758,7442.8400,45.52923
759,7442.8600,45.92322
760,7442.8800,46.2234
761,7442.9000,46.42978
762,7442.9200,46.78625
763,7442.9400,47.15209
764,7442.9600,47.35847
765,7442.9800,47.37723
766,7443.0000,47.41475
767,7443.0200,47.44289
768,7443.0400,47.3444
769,7443.0600,47.15678
770,7443.0800,47.00669
771,7443.1000,46.89412
772,7443.1200,46.97855
773,7443.1400,47.17086
774,7443.1600,47.31626
775,7443.1800,47.64458
776,7443.2000,47.93538
777,7443.2200,48.38565
778,7443.2400,48.71867
779,7443.2600,48.66708
780,7443.2800,48.72336
781,7443.3000,48.62017
782,7443.3200,48.53106
783,7443.3400,48.38097
784,7443.3600,48.15583
785,7443.3800,48.11831
786,7443.4000,48.19335
787,7443.4200,48.10424
788,7443.4400,48.13238
789,7443.4600,48.40442
790,7443.4800,48.61548
791,7443.5000,48.73274
792,7443.5200,48.71867
793,7443.5400,48.48415
794,7443.5600,48.18866
795,7443.5800,47.93069
796,7443.6000,47.63051
797,7443.6200,47.48042
798,7443.6400,47.23183
799,7443.6600,47.03952
800,7443.6800,47.00669
801,7443.7000,47.22245
802,7443.7200,47.54608
803,7443.7400,47.87441
804,7443.7600,48.18866
805,7443.7800,48.48884
806,7443.8000,48.51229
807,7443.8200,48.51229
808,7443.8400,48.61079
809,7443.8600,48.7562
810,7443.8800,48.91566
811,7443.9000,48.9485
812,7443.9200,49.07983
813,7443.9400,49.18301
814,7443.9600,49.16425
815,7443.9800,49.02823
816,7444.0000,48.96257
817,7444.0200,48.86407
818,7444.0400,48.98602
819,7444.0600,49.22054
820,7444.0800,49.51603
821,7444.1000,49.64736
822,7444.1200,49.68019
823,7444.1400,49.75993
824,7444.1600,49.66143
825,7444.1800,49.38001
826,7444.2000,49.17363
827,7444.2200,49.29559
828,7444.2400,49.30965
829,7444.2600,49.3847
830,7444.2800,49.63329
831,7444.3000,49.92878
832,7444.3200,50.20082
833,7444.3400,50.41189
834,7444.3600,50.5526
835,7444.3800,50.83402
836,7444.4000,51.06853
837,7444.4200,51.01694
838,7444.4400,51.01694
839,7444.4600,50.82933
840,7444.4800,50.70738
841,7444.5000,50.63233
842,7444.5200,50.78712
843,7444.5400,50.85278
844,7444.5600,50.67924
845,7444.5800,50.55729
846,7444.6000,50.6464
847,7444.6200,50.85278
848,7444.6400,50.87154
849,7444.6600,50.94659
850,7444.6800,51.06385
851,7444.7000,51.19987
852,7444.7200,51.25146
853,7444.7400,51.40155
854,7444.7600,51.50474
855,7444.7800,51.622
856,7444.8000,51.80023
857,7444.8200,51.80961
858,7444.8400,51.6689
859,7444.8600,51.48129
860,7444.8800,51.25615
861,7444.9000,51.21863
862,7444.9200,51.26084
863,7444.9400,51.3265
864,7444.9600,51.36403
865,7444.9800,51.45314
866,7445.0000,51.57509
867,7445.0200,51.68766
868,7445.0400,51.83775
869,7445.0600,52.14263
870,7445.0800,52.5929
871,7445.1000,53.03848
872,7445.1200,53.45592
873,7445.1400,53.68106
874,7445.1600,53.68575
875,7445.1800,53.53097
876,7445.2000,53.24017
877,7445.2200,52.88839
878,7445.2400,52.49909
879,7445.2600,52.26926
880,7445.2800,51.92687
881,7445.3000,51.56102
882,7445.3200,51.2327
883,7445.3400,50.99818
884,7445.3600,50.83871
885,7445.3800,50.698
886,7445.4000,50.67455
887,7445.4200,50.90437
888,7445.4400,51.20925
889,7445.4600,51.56571
890,7445.4800,51.98315
891,7445.5000,52.4006
892,7445.5200,52.82742
893,7445.5400,53.1792
894,7445.5600,53.27769
895,7445.5800,53.15105
896,7445.6000,52.94937
897,7445.6200,52.83211
898,7445.6400,52.8368
899,7445.6600,52.66325
900,7445.6800,52.57883
901,7445.7000,52.67264
902,7445.7200,52.78521
903,7445.7400,52.9822
904,7445.7600,53.27769
905,7445.7800,53.60133
906,7445.8000,53.71389
907,7445.8200,53.63416
908,7445.8400,53.62478
909,7445.8600,53.8077
910,7445.8800,54.04691
911,7445.9000,54.1454
912,7445.9200,54.1454
913,7445.9400,54.18762
914,7445.9600,54.3424
915,7445.9800,54.6848
916,7446.0000,54.85834
917,7446.0200,54.96153
918,7446.0400,54.99436
919,7446.0600,55.10224
920,7446.0800,55.10693
921,7446.1000,55.17728
922,7446.1200,55.09755
923,7446.1400,55.0225
924,7446.1600,55.01312
925,7446.1800,54.8771
926,7446.2000,54.88648
927,7446.2200,54.78329
928,7446.2400,54.60506
929,7446.2600,54.36585
930,7446.2800,54.25797
931,7446.3000,54.40807
932,7446.3200,54.68011
933,7446.3400,54.82082
934,7446.3600,54.98967
935,7446.3800,55.23357
936,7446.4000,55.45401
937,7446.4200,55.71667
938,7446.4400,55.97933
939,7446.4600,56.23261
940,7446.4800,56.43899
941,7446.5000,56.44368
942,7446.5200,56.40615
943,7446.5400,56.33111
944,7446.5600,56.2373
945,7446.5800,56.18571
946,7446.6000,56.3358
947,7446.6200,56.55156
948,7446.6400,56.63129
949,7446.6600,56.57501
950,7446.6800,56.42023
951,7446.7000,56.31704
952,7446.7200,56.16695
953,7446.7400,55.95119
954,7446.7600,55.75889
955,7446.7800,55.8996
956,7446.8000,56.38739
957,7446.8200,56.73448
958,7446.8400,56.97838
959,7446.8600,57.06749
960,7446.8800,56.8705
961,7446.9000,56.61722
962,7446.9200,56.41553
963,7446.9400,56.42023
964,7446.9600,56.35925
965,7446.9800,56.26075
966,7447.0000,56.15288
967,7447.0200,55.97464
968,7447.0400,55.89022
969,7447.0600,55.87146
970,7447.0800,55.76358
971,7447.1000,55.90898
972,7447.1200,55.88084
973,7447.1400,55.98402
974,7447.1600,56.19509
975,7447.1800,56.33111
976,7447.2000,56.42492
977,7447.2200,56.40147
978,7447.2400,56.41553
979,7447.2600,56.54218
980,7447.2800,56.63598
981,7447.3000,56.6266
982,7447.3200,56.56094
983,7447.3400,56.69227
984,7447.3600,56.72979
985,7447.3800,56.7251
986,7447.4000,56.66882
987,7447.4200,56.6266
988,7447.4400,56.63129
989,7447.4600,56.72979
990,7447.4800,56.84705
991,7447.5000,56.87519
992,7447.5200,56.95962
993,7447.5400,57.23635
994,7447.5600,57.49901
995,7447.5800,57.65379
996,7447.6000,57.86485
997,7447.6200,58.14627
998,7447.6400,58.31513
999,7447.6600,58.46053
1000,7447.6800,58.54496
1001,7447.7000,58.68567
1002,7447.7200,58.68098
1003,7447.7400,58.70443
1004,7447.7600,58.61062
1005,7447.7800,58.38079
1006,7447.8000,58.1838
1007,7447.8200,58.09468
1008,7447.8400,58.01963
1009,7447.8600,57.73822
1010,7447.8800,57.59282
1011,7447.9000,57.24573
1012,7447.9200,56.89864
1013,7447.9400,56.82829
1014,7447.9600,57.13785
1015,7447.9800,57.50839
1016,7448.0000,57.86954
1017,7448.0200,58.1838
1018,7448.0400,58.31044
1019,7448.0600,58.46522
1020,7448.0800,58.66221
1021,7448.1000,58.76071
1022,7448.1200,58.87328
1023,7448.1400,58.99523
1024,7448.1600,59.0562
1025,7448.1800,58.92018
1026,7448.2000,58.58717
1027,7448.2200,58.29637
1028,7448.2400,58.15097
1029,7448.2600,58.01963
1030,7448.2800,58.02433
1031,7448.3000,58.01963
1032,7448.3200,58.01963
1033,7448.3400,57.91176
1034,7448.3600,57.77105
1035,7448.3800,57.83202
1036,7448.4000,58.14159
1037,7448.4200,58.58717
1038,7448.4400,59.02337
1039,7448.4600,59.27665
1040,7448.4800,59.34232
1041,7448.5000,59.31417
1042,7448.5200,59.08435
1043,7448.5400,58.91549
1044,7448.5600,58.70912
1045,7448.5800,58.79823
1046,7448.6000,58.92957
1047,7448.6200,59.12656
1048,7448.6400,59.45488
1049,7448.6600,59.75975
1050,7448.6800,59.84418
1051,7448.7000,59.82073
1052,7448.7200,59.85825
1053,7448.7400,59.92392
1054,7448.7600,59.9333
1055,7448.7800,59.92392
1056,7448.8000,59.78321
1057,7448.8200,59.88171
1058,7448.8400,60.19596
1059,7448.8600,60.51959
1060,7448.8800,60.9511
1061,7448.9000,61.30288
1062,7448.9200,61.38731
1063,7448.9400,60.97456
1064,7448.9600,60.48207
