DATE,DEXDNUS
2007-08-09,5.4325
2007-08-10,5.4376
2007-08-13,5.4629
2007-08-14,5.4775
2007-08-15,5.5198
2007-08-16,5.5511
2007-08-17,5.5147
2007-08-20,5.5233
2007-08-21,5.5197
2007-08-22,5.4965
2007-08-23,5.4881
2007-08-24,5.4527
2007-08-27,5.4543
2007-08-28,5.4629
2007-08-29,5.4458
2007-08-30,5.4562
2007-08-31,5.4594
2007-09-03,5.4594
2007-09-04,5.4735
2007-09-05,5.4487
2007-09-06,5.4366
2007-09-07,5.4053
2007-09-10,5.3975
2007-09-11,5.3819
2007-09-12,5.3564
2007-09-13,5.3637
2007-09-14,5.3772
2007-09-17,5.3729
2007-09-18,5.3704
2007-09-19,5.3411
2007-09-20,5.2874
2007-09-21,5.2952
2007-09-24,5.2920
2007-09-25,5.2759
2007-09-26,5.2770
2007-09-27,5.2720
2007-09-28,5.2412
2007-10-01,5.2387
2007-10-02,5.2629
2007-10-03,5.2736
2007-10-04,5.2751
2007-10-05,5.2649
2007-10-08,5.2649
2007-10-09,5.2879
2007-10-10,5.2633
2007-10-11,5.2363
2007-10-12,5.2591
2007-10-15,5.2406
2007-10-16,5.2598
2007-10-17,5.2451
2007-10-18,5.2153
2007-10-19,5.2252
2007-10-22,5.2727
2007-10-23,5.2318
2007-10-24,5.2351
2007-10-25,5.2114
2007-10-26,5.1800
2007-10-29,5.1735
2007-10-30,5.1667
2007-10-31,5.1514
2007-11-01,5.1633
2007-11-02,5.1458
2007-11-05,5.1512
2007-11-06,5.1197
2007-11-07,5.0808
2007-11-08,5.0739
2007-11-09,5.0813
2007-11-12,.
2007-11-13,5.1035
2007-11-14,5.0793
2007-11-15,5.0888
2007-11-16,5.0862
2007-11-19,5.0840
2007-11-20,5.0390
2007-11-21,5.0263
2007-11-22,5.0263
2007-11-23,5.0281
2007-11-26,5.0172
2007-11-27,5.0325
2007-11-28,5.0554
2007-11-29,5.0496
2007-11-30,5.0772
2007-12-03,5.0859
2007-12-04,5.0507
2007-12-05,5.0832
2007-12-06,5.0954
2007-12-07,5.0863
2007-12-10,5.0707
2007-12-11,5.0736
2007-12-12,5.0743
2007-12-13,5.1141
2007-12-14,5.1682
2007-12-17,5.1917
2007-12-18,5.1827
2007-12-19,5.2018
2007-12-20,5.2020
2007-12-21,5.1962
2007-12-24,5.1765
2007-12-25,.
2007-12-26,5.1427
2007-12-27,5.1040
2007-12-28,5.0663
2007-12-31,5.1046
2008-01-01,.
2008-01-02,5.0580
2008-01-03,5.0564
2008-01-04,5.0380
2008-01-07,5.0721
2008-01-08,5.0607
2008-01-09,5.0788
2008-01-10,5.0500
2008-01-11,5.0346
2008-01-14,5.0025
2008-01-15,5.0158
2008-01-16,5.0809
2008-01-17,5.0719
2008-01-18,5.0973
2008-01-21,.
2008-01-22,5.0996
2008-01-23,5.1129
2008-01-24,5.0567
2008-01-25,5.0773
2008-01-28,5.0366
2008-01-29,5.0451
2008-01-30,5.0415
2008-01-31,5.0208
2008-02-01,5.0183
2008-02-04,5.0241
2008-02-05,5.0911
2008-02-06,5.0882
2008-02-07,5.1412
2008-02-08,5.1385
2008-02-11,5.1382
2008-02-12,5.1079
2008-02-13,5.1162
2008-02-14,5.0930
2008-02-15,5.0804
2008-02-18,.
2008-02-19,5.0560
2008-02-20,5.0823
2008-02-21,5.0324
2008-02-22,5.0286
2008-02-25,5.0294
2008-02-26,5.0071
2008-02-27,4.9242
2008-02-28,4.9114
2008-02-29,4.9054
2008-03-03,4.9028
2008-03-04,4.8977
2008-03-05,4.8738
2008-03-06,4.8496
2008-03-07,4.8624
2008-03-10,4.8502
2008-03-11,4.8640
2008-03-12,4.8116
2008-03-13,4.7837
2008-03-14,4.7777
2008-03-17,4.7304
2008-03-18,4.7263
2008-03-19,4.7680
2008-03-20,4.8380
2008-03-21,4.8283
2008-03-24,4.8451
2008-03-25,4.7826
2008-03-26,4.7320
2008-03-27,4.7188
2008-03-28,4.7304
2008-03-31,4.7178
2008-04-01,4.7752
2008-04-02,4.7750
2008-04-03,4.7589
2008-04-04,4.7394
2008-04-07,4.7455
2008-04-08,4.7494
2008-04-09,4.7192
2008-04-10,4.7385
2008-04-11,4.7212
2008-04-14,4.7127
2008-04-15,4.7201
2008-04-16,4.6687
2008-04-17,4.6836
2008-04-18,4.7394
2008-04-21,4.6980
2008-04-22,4.6605
2008-04-23,4.6940
2008-04-24,4.7633
2008-04-25,4.7732
2008-04-28,4.7692
2008-04-29,4.7800
2008-04-30,4.7933
2008-05-01,4.8272
2008-05-02,4.8354
2008-05-05,4.8169
2008-05-06,4.7982
2008-05-07,4.8546
2008-05-08,4.8410
2008-05-09,4.8295
2008-05-12,4.8014
2008-05-13,4.8097
2008-05-14,4.8234
2008-05-15,4.8153
2008-05-16,4.7846
2008-05-19,4.8083
2008-05-20,4.7602
2008-05-21,4.7290
2008-05-22,4.7505
2008-05-23,4.7268
2008-05-26,.
2008-05-27,4.7408
2008-05-28,4.7723
2008-05-29,4.8036
2008-05-30,4.7934
2008-06-02,4.7965
2008-06-03,4.8261
2008-06-04,4.8248
2008-06-05,4.7933
2008-06-06,4.7398
2008-06-09,4.7461
2008-06-10,4.8207
2008-06-11,4.7924
2008-06-12,4.8370
2008-06-13,4.8519
2008-06-16,4.8200
2008-06-17,4.8064
2008-06-18,4.8119
2008-06-19,4.8106
2008-06-20,4.7725
2008-06-23,4.8141
2008-06-24,4.7839
2008-06-25,4.7897
2008-06-26,4.7394
2008-06-27,4.7343
2008-06-30,4.7340
2008-07-01,4.7260
2008-07-02,4.6991
2008-07-03,4.7472
2008-07-04,.
2008-07-07,4.7658
2008-07-08,4.7640
2008-07-09,4.7376
2008-07-10,4.7299
2008-07-11,4.6917
2008-07-14,4.6882
2008-07-15,4.6837
2008-07-16,4.7049
2008-07-17,4.7028
2008-07-18,4.7035
2008-07-21,4.6994
2008-07-22,4.7186
2008-07-23,4.7501
2008-07-24,4.7641
2008-07-25,4.7549
2008-07-28,4.7383
2008-07-29,4.7854
2008-07-30,4.7956
2008-07-31,4.7858
2008-08-01,4.7916
2008-08-04,4.7920
2008-08-05,4.8226
2008-08-06,4.8419
2008-08-07,4.8630
2008-08-08,4.9561
2008-08-11,4.9870
2008-08-12,5.0049
2008-08-13,5.0073
2008-08-14,5.0203
2008-08-15,5.0763
2008-08-18,5.0634
2008-08-19,5.0575
2008-08-20,5.0727
2008-08-21,5.0142
2008-08-22,5.0395
2008-08-25,5.0387
2008-08-26,5.0874
2008-08-27,5.0784
2008-08-28,5.0780
2008-08-29,5.0840
2008-09-01,.
2008-09-02,5.1337
2008-09-03,5.1456
2008-09-04,5.1921
2008-09-05,5.2241
2008-09-08,5.2790
2008-09-09,5.2612
2008-09-10,5.3206
2008-09-11,5.3476
2008-09-12,5.2602
2008-09-15,5.2590
2008-09-16,5.2681
2008-09-17,5.2696
2008-09-18,5.1856
2008-09-19,5.1814
2008-09-22,5.0755
2008-09-23,5.0605
2008-09-24,5.0903
2008-09-25,5.0938
2008-09-26,5.1111
2008-09-29,5.1870
2008-09-30,5.2958
2008-10-01,5.3064
2008-10-02,5.3839
2008-10-03,5.3992
2008-10-06,5.5221
2008-10-07,5.4675
2008-10-08,5.4478
2008-10-09,5.4622
2008-10-10,5.5298
2008-10-13,.
2008-10-14,5.4550
2008-10-15,5.4919
2008-10-16,5.5542
2008-10-17,5.5375
2008-10-20,5.5985
2008-10-21,5.6875
2008-10-22,5.8080
2008-10-23,5.7908
2008-10-24,5.8982
2008-10-27,5.9847
2008-10-28,5.9715
2008-10-29,5.7972
2008-10-30,5.7944
2008-10-31,5.8683
2008-11-03,5.8520
2008-11-04,5.7144
2008-11-05,5.7074
2008-11-06,5.8352
2008-11-07,5.8257
2008-11-10,5.8345
2008-11-11,.
2008-11-12,5.9295
2008-11-13,5.9461
2008-11-14,5.8493
2008-11-17,5.8523
2008-11-18,5.8700
2008-11-19,5.9163
2008-11-20,5.9482
2008-11-21,5.9484
2008-11-24,5.7811
2008-11-25,5.7183
2008-11-26,5.8099
2008-11-27,.
2008-11-28,5.8671
2008-12-01,5.8955
2008-12-02,5.8525
2008-12-03,5.8795
2008-12-04,5.8001
2008-12-05,5.8895
2008-12-08,5.7549
2008-12-09,5.7548
2008-12-10,5.7171
2008-12-11,5.6001
2008-12-12,5.5799
2008-12-15,5.4525
2008-12-16,5.3955
2008-12-17,5.1890
2008-12-18,5.2094
2008-12-19,5.3717
2008-12-22,5.3423
2008-12-23,5.3353
2008-12-24,5.3364
2008-12-25,.
2008-12-26,5.2975
2008-12-29,5.2335
2008-12-30,5.2895
2008-12-31,5.3497
2009-01-01,.
2009-01-02,5.3400
2009-01-05,5.4845
2009-01-06,5.5426
2009-01-07,5.4311
2009-01-08,5.4343
2009-01-09,5.5240
2009-01-12,5.5826
2009-01-13,5.6461
2009-01-14,5.6551
2009-01-15,5.6891
2009-01-16,5.6275
2009-01-19,.
2009-01-20,5.7545
2009-01-21,5.7905
2009-01-22,5.7527
2009-01-23,5.8007
2009-01-26,5.6651
2009-01-27,5.6645
2009-01-28,5.6238
2009-01-29,5.7369
2009-01-30,5.8216
2009-02-02,5.8197
2009-02-03,5.7267
2009-02-04,5.7951
2009-02-05,5.8028
2009-02-06,5.7860
2009-02-09,5.7045
2009-02-10,5.7461
2009-02-11,5.7790
2009-02-12,5.8115
2009-02-13,5.7859
2009-02-16,.
2009-02-17,5.9277
2009-02-18,5.9371
2009-02-19,5.8760
2009-02-20,5.8731
2009-02-23,5.8450
2009-02-24,5.8455
2009-02-25,5.8504
2009-02-26,5.8349
2009-02-27,5.8832
2009-03-02,5.9229
2009-03-03,5.9369
2009-03-04,5.9082
2009-03-05,5.9305
2009-03-06,5.8787
2009-03-09,5.8943
2009-03-10,5.8419
2009-03-11,5.8310
2009-03-12,5.8219
2009-03-13,5.7834
2009-03-16,5.7353
2009-03-17,5.7457
2009-03-18,5.6834
2009-03-19,5.4273
2009-03-20,5.4918
2009-03-23,5.4902
2009-03-24,5.5075
2009-03-25,5.5002
2009-03-26,5.4925
2009-03-27,5.5971
2009-03-30,5.6659
2009-03-31,5.6153
2009-04-01,5.6322
2009-04-02,5.5342
2009-04-03,5.5386
2009-04-06,5.5704
2009-04-07,5.6090
2009-04-08,5.6065
2009-04-09,5.6650
2009-04-10,5.6679
2009-04-13,5.5783
2009-04-14,5.6096
2009-04-15,5.6508
2009-04-16,5.6424
2009-04-17,5.7164
2009-04-20,5.7730
2009-04-21,5.7386
2009-04-22,5.7245
2009-04-23,5.7087
2009-04-24,5.6106
2009-04-27,5.6706
2009-04-28,5.7021
2009-04-29,5.5891
2009-04-30,5.6223
2009-05-01,5.6139
2009-05-04,5.5714
2009-05-05,5.5680
2009-05-06,5.5943
2009-05-07,5.5529
2009-05-08,5.5199
2009-05-11,5.4687
2009-05-12,5.4618
2009-05-13,5.4705
2009-05-14,5.4725
2009-05-15,5.4993
2009-05-18,5.5132
2009-05-19,5.4724
2009-05-20,5.4092
2009-05-21,5.3937
2009-05-22,5.3164
2009-05-25,.
2009-05-26,5.3184
2009-05-27,5.3449
2009-05-28,5.3375
2009-05-29,5.2708
2009-06-01,5.2476
2009-06-02,5.2175
2009-06-03,5.2470
2009-06-04,5.2475
2009-06-05,5.3218
2009-06-08,5.3609
2009-06-09,5.3125
2009-06-10,5.3225
2009-06-11,5.2831
2009-06-12,5.3017
2009-06-15,5.4015
2009-06-16,5.3625
2009-06-17,5.3731
2009-06-18,5.3252
2009-06-19,5.3162
2009-06-22,5.3746
2009-06-23,5.3022
2009-06-24,5.3114
2009-06-25,5.3372
2009-06-26,5.2974
2009-06-29,5.2962
2009-06-30,5.3113
2009-07-01,5.2486
2009-07-02,5.3110
2009-07-03,5.3220
2009-07-06,5.3412
2009-07-07,5.3330
2009-07-08,5.3729
2009-07-09,5.3089
2009-07-10,5.3451
2009-07-13,5.3282
2009-07-14,5.3291
2009-07-15,5.2742
2009-07-16,5.2746
2009-07-17,5.2714
2009-07-20,5.2399
2009-07-21,5.2457
2009-07-22,5.2361
2009-07-23,5.2184
2009-07-24,5.2384
2009-07-27,5.2370
2009-07-28,5.2368
2009-07-29,5.3051
2009-07-30,5.2929
2009-07-31,5.2146
2009-08-03,5.1650
2009-08-04,5.1695
2009-08-05,5.1735
2009-08-06,5.1844
2009-08-07,5.2497
2009-08-10,5.2637
2009-08-11,5.2642
2009-08-12,5.2353
2009-08-13,5.2119
2009-08-14,5.2339
2009-08-17,5.2831
2009-08-18,5.2876
2009-08-19,5.2173
2009-08-20,5.2287
2009-08-21,5.2023
2009-08-24,5.1969
2009-08-25,5.1859
2009-08-26,5.2292
2009-08-27,5.2147
2009-08-28,5.1835
2009-08-31,5.1858
2009-09-01,5.2285
2009-09-02,5.2233
2009-09-03,5.2131
2009-09-04,5.2126
2009-09-07,.
2009-09-08,5.1331
2009-09-09,5.1078
2009-09-10,5.1096
2009-09-11,5.1031
2009-09-14,5.0920
2009-09-15,5.0915
2009-09-16,5.0627
2009-09-17,5.0495
2009-09-18,5.0578
2009-09-21,5.0646
2009-09-22,5.0300
2009-09-23,5.0440
2009-09-24,5.0634
2009-09-25,5.0674
2009-09-28,5.0809
2009-09-29,5.1148
2009-09-30,5.0874
2009-10-01,5.1213
2009-10-02,5.1021
2009-10-05,5.0819
2009-10-06,5.0488
2009-10-07,5.0721
2009-10-08,5.0372
2009-10-09,5.0578
2009-10-12,.
2009-10-13,5.0150
2009-10-14,4.9958
2009-10-15,4.9811
2009-10-16,4.9972
2009-10-19,4.9797
2009-10-20,4.9936
2009-10-21,4.9594
2009-10-22,4.9609
2009-10-23,4.9508
2009-10-26,4.9816
2009-10-27,5.0213
2009-10-28,5.0405
2009-10-29,5.0223
2009-10-30,5.0422
2009-11-02,5.0185
2009-11-03,5.0769
2009-11-04,5.0155
2009-11-05,5.0072
2009-11-06,5.0162
2009-11-09,4.9607
2009-11-10,4.9737
2009-11-11,.
2009-11-12,5.0053
2009-11-13,4.9969
2009-11-16,4.9682
2009-11-17,5.0157
2009-11-18,4.9634
2009-11-19,4.9908
2009-11-20,5.0041
2009-11-23,4.9715
2009-11-24,4.9813
2009-11-25,4.9328
2009-11-26,.
2009-11-27,4.9749
2009-11-30,4.9631
2009-12-01,4.9285
2009-12-02,4.9414
2009-12-03,4.9337
2009-12-04,4.9992
2009-12-07,5.0211
2009-12-08,5.0475
2009-12-09,5.0533
2009-12-10,5.0565
2009-12-11,5.0972
2009-12-14,5.0816
2009-12-15,5.1273
2009-12-16,5.1050
2009-12-17,5.1979
2009-12-18,5.2103
2009-12-21,5.1962
2009-12-22,5.2247
2009-12-23,5.1893
2009-12-24,5.1790
2009-12-25,.
2009-12-28,5.1707
2009-12-29,5.1830
2009-12-30,5.1973
2009-12-31,5.1908
2010-01-01,.
2010-01-04,5.1597
2010-01-05,5.1668
2010-01-06,5.1638
2010-01-07,5.1981
2010-01-08,5.1827
2010-01-11,5.1185
2010-01-12,5.1232
2010-01-13,5.1336
2010-01-14,5.1387
2010-01-15,5.1768
2010-01-18,.
2010-01-19,5.2154
2010-01-20,5.2812
2010-01-21,5.2762
2010-01-22,5.2611
2010-01-25,5.2630
2010-01-26,5.2930
2010-01-27,5.2978
2010-01-28,5.3195
2010-01-29,5.3676
2010-02-01,5.3533
2010-02-02,5.3346
2010-02-03,5.3511
2010-02-04,5.4095
2010-02-05,5.4708
2010-02-08,5.4328
2010-02-09,5.3970
2010-02-10,5.4237
2010-02-11,5.4579
2010-02-12,5.4634
2010-02-15,.
2010-02-16,5.4163
2010-02-17,5.4636
2010-02-18,5.4877
2010-02-19,5.4964
2010-02-22,5.4774
2010-02-23,5.4980
2010-02-24,5.4824
2010-02-25,5.5229
2010-02-26,5.4482
2010-03-01,5.5057
2010-03-02,5.4868
2010-03-03,5.4198
2010-03-04,5.4840
2010-03-05,5.4673
2010-03-08,5.4663
2010-03-09,5.4755
2010-03-10,5.4476
2010-03-11,5.4416
2010-03-12,5.4106
2010-03-15,5.4502
2010-03-16,5.4077
2010-03-17,5.4156
2010-03-18,5.4681
2010-03-19,5.4992
2010-03-22,5.4983
2010-03-23,5.4965
2010-03-24,5.5726
2010-03-25,5.5758
2010-03-26,5.5540
2010-03-29,5.5270
2010-03-30,5.5520
2010-03-31,5.5033
2010-04-01,5.4876
2010-04-02,5.5191
2010-04-05,5.5187
2010-04-06,5.5640
2010-04-07,5.5699
2010-04-08,5.5694
2010-04-09,5.5251
2010-04-12,5.4779
2010-04-13,5.4757
2010-04-14,5.4448
2010-04-15,5.4965
2010-04-16,5.5184
2010-04-19,5.5294
2010-04-20,5.5332
2010-04-21,5.5593
2010-04-22,5.5960
2010-04-23,5.5688
2010-04-26,5.5792
2010-04-27,5.6248
2010-04-28,5.6659
2010-04-29,5.6200
2010-04-30,5.5952
2010-05-03,5.6452
2010-05-04,5.7090
2010-05-05,5.7734
2010-05-06,5.8657
2010-05-07,5.8508
2010-05-10,5.7863
2010-05-11,5.8527
2010-05-12,5.8853
2010-05-13,5.9185
2010-05-14,6.0026
2010-05-17,6.0486
2010-05-18,6.0204
2010-05-19,6.0411
2010-05-20,6.0161
2010-05-21,5.9195
2010-05-24,5.9984
2010-05-25,6.0593
2010-05-26,6.0861
2010-05-27,6.0120
2010-05-28,6.0145
2010-05-31,.
2010-06-01,6.0651
2010-06-02,6.0958
2010-06-03,6.1024
2010-06-04,6.1999
2010-06-07,6.2188
2010-06-08,6.2000
2010-06-09,6.1760
2010-06-10,6.1413
2010-06-11,6.1571
2010-06-14,6.0562
2010-06-15,6.0318
2010-06-16,6.0360
2010-06-17,6.0145
2010-06-18,6.0173
2010-06-21,6.0077
2010-06-22,6.0482
2010-06-23,6.0439
2010-06-24,6.0566
2010-06-25,6.0358
2010-06-28,6.0445
2010-06-29,6.1116
2010-06-30,6.0598
2010-07-01,5.9764
2010-07-02,5.9243
2010-07-05,.
2010-07-06,5.8924
2010-07-07,5.9184
2010-07-08,5.8770
2010-07-09,5.8979
2010-07-12,5.9279
2010-07-13,5.8629
2010-07-14,5.8415
2010-07-15,5.7790
2010-07-16,5.7648
2010-07-19,5.7482
2010-07-20,5.7742
2010-07-21,5.8120
2010-07-22,5.7758
2010-07-23,5.7924
2010-07-26,5.7389
2010-07-27,5.7383
2010-07-28,5.7310
2010-07-29,5.7024
2010-07-30,5.7010
2010-08-02,5.6548
2010-08-03,5.6280
2010-08-04,5.6633
2010-08-05,5.6632
2010-08-06,5.6094
2010-08-09,5.6273
2010-08-10,5.6891
2010-08-11,5.7748
2010-08-12,5.7906
2010-08-13,5.8357
2010-08-16,5.8011
2010-08-17,5.7785
2010-08-18,5.7860
2010-08-19,5.8043
2010-08-20,5.8730
2010-08-23,5.8830
2010-08-24,5.8754
2010-08-25,5.8849
2010-08-26,5.8547
2010-08-27,5.8339
2010-08-30,5.8696
2010-08-31,5.8580
2010-09-01,5.8102
2010-09-02,5.8041
2010-09-03,5.7774
2010-09-06,.
2010-09-07,5.8506
2010-09-08,5.8482
2010-09-09,5.8590
2010-09-10,5.8482
2010-09-13,5.7763
2010-09-14,5.7204
2010-09-15,5.7249
2010-09-16,5.6938
2010-09-17,5.7078
2010-09-20,5.6958
2010-09-21,5.6706
2010-09-22,5.5652
2010-09-23,5.5830
2010-09-24,5.5285
2010-09-27,5.5272
2010-09-28,5.4862
2010-09-29,5.4643
2010-09-30,5.4791
2010-10-01,5.4182
2010-10-04,5.4449
2010-10-05,5.3867
2010-10-06,5.3516
2010-10-07,5.3542
2010-10-08,5.3552
2010-10-11,.
2010-10-12,5.3852
2010-10-13,5.3399
2010-10-14,5.2997
2010-10-15,5.3268
2010-10-18,5.3353
2010-10-19,5.3935
2010-10-20,5.3451
2010-10-21,5.3376
2010-10-22,5.3640
2010-10-25,5.3324
2010-10-26,5.3756
2010-10-27,5.4077
2010-10-28,5.3547
2010-10-29,5.3671
2010-11-01,5.3688
2010-11-02,5.3156
2010-11-03,5.3195
2010-11-04,5.2405
2010-11-05,5.3094
2010-11-08,5.3514
2010-11-09,5.3759
2010-11-10,5.4277
2010-11-11,.
2010-11-12,5.4407
2010-11-15,5.4744
2010-11-16,5.5149
2010-11-17,5.4989
2010-11-18,5.4744
2010-11-19,5.4604
2010-11-22,5.4774
2010-11-23,5.5686
2010-11-24,5.5796
2010-11-25,.
2010-11-26,5.6274
2010-11-29,5.6917
2010-11-30,5.7171
2010-12-01,5.6679
2010-12-02,5.6329
2010-12-03,5.5753
2010-12-06,5.6122
2010-12-07,5.5938
2010-12-08,5.6302
2010-12-09,5.6455
2010-12-10,5.6277
2010-12-13,5.5670
2010-12-14,5.5640
2010-12-15,5.5989
2010-12-16,5.6399
2010-12-17,5.6623
2010-12-20,5.6759
2010-12-21,5.6733
2010-12-22,5.6921
2010-12-23,5.6889
2010-12-24,.
2010-12-27,5.6678
2010-12-28,5.6796
2010-12-29,5.6546
2010-12-30,5.6183
2010-12-31,.
2011-01-03,5.5724
2011-01-04,5.6013
2011-01-05,5.6582
2011-01-06,5.7193
2011-01-07,5.7555
2011-01-10,5.7540
2011-01-11,5.7389
2011-01-12,5.7011
2011-01-13,5.5743
2011-01-14,5.5894
2011-01-17,.
2011-01-18,5.5605
2011-01-19,5.5214
2011-01-20,5.5428
2011-01-21,5.4881
2011-01-24,5.4573
2011-01-25,5.4628
2011-01-26,5.4444
2011-01-27,5.4440
2011-01-28,5.4767
2011-01-31,5.4350
2011-02-01,5.4045
2011-02-02,5.4104
2011-02-03,5.4594
2011-02-04,5.4869
2011-02-07,5.4989
2011-02-08,5.4466
2011-02-09,5.4469
2011-02-10,5.4677
2011-02-11,5.5152
2011-02-14,5.5340
2011-02-15,5.5252
2011-02-16,5.5042
2011-02-17,5.4770
2011-02-18,5.4518
2011-02-21,.
2011-02-22,5.4558
2011-02-23,5.4187
2011-02-24,5.4048
2011-02-25,5.4192
2011-02-28,5.4054
2011-03-01,5.3973
2011-03-02,5.3748
2011-03-03,5.3462
2011-03-04,5.3315
2011-03-07,5.3356
2011-03-08,5.3591
2011-03-09,5.3630
2011-03-10,5.3953
2011-03-11,5.3792
2011-03-14,5.3355
2011-03-15,5.3397
2011-03-16,5.3572
2011-03-17,5.3183
2011-03-18,5.2737
2011-03-21,5.2572
2011-03-22,5.2472
2011-03-23,5.2796
2011-03-24,5.2516
2011-03-25,5.2714
2011-03-28,5.2853
2011-03-29,5.2929
2011-03-30,5.2899
2011-03-31,5.2569
2011-04-01,5.2455
2011-04-04,5.2436
2011-04-05,5.2391
2011-04-06,5.2014
2011-04-07,5.2194
2011-04-08,5.1652
2011-04-11,5.1591
2011-04-12,5.1595
2011-04-13,5.1509
2011-04-14,5.1570
2011-04-15,5.1634
2011-04-18,5.2464
2011-04-19,5.2086
2011-04-20,5.1383
2011-04-21,5.1126
2011-04-22,5.1271
2011-04-25,5.1157
2011-04-26,5.0969
2011-04-27,5.0864
2011-04-28,5.0442
2011-04-29,5.0315
2011-05-02,5.0149
2011-05-03,5.0127
2011-05-04,5.0183
2011-05-05,5.1125
2011-05-06,5.1454
2011-05-09,5.2126
2011-05-10,5.1922
2011-05-11,5.2249
2011-05-12,5.2400
2011-05-13,5.2725
2011-05-16,5.2444
2011-05-17,5.2667
2011-05-18,5.2262
2011-05-19,5.2324
2011-05-20,5.2615
2011-05-23,5.3203
2011-05-24,5.2848
2011-05-25,5.2863
2011-05-26,5.2915
2011-05-27,5.2182
2011-05-30,.
2011-05-31,5.1847
2011-06-01,5.1662
2011-06-02,5.1669
2011-06-03,5.1046
2011-06-06,5.0982
2011-06-07,5.0802
2011-06-08,5.1112
2011-06-09,5.1311
2011-06-10,5.1913
2011-06-13,5.1908
2011-06-14,5.1535
2011-06-15,5.2449
2011-06-16,5.2694
2011-06-17,5.2068
2011-06-20,5.2076
2011-06-21,5.1801
2011-06-22,5.1781
2011-06-23,5.2640
2011-06-24,5.2564
2011-06-27,5.2220
2011-06-28,5.1910
2011-06-29,5.1699
2011-06-30,5.1355
2011-07-01,5.1415
2011-07-04,.
2011-07-05,5.1537
2011-07-06,5.2052
2011-07-07,5.1966
2011-07-08,5.2336
2011-07-11,5.3141
2011-07-12,5.3203
2011-07-13,5.2634
2011-07-14,5.2582
2011-07-15,5.2666
2011-07-18,5.3101
2011-07-19,5.2667
2011-07-20,5.2531
2011-07-21,5.1868
2011-07-22,5.1869
2011-07-25,5.1910
2011-07-26,5.1420
2011-07-27,5.1842
2011-07-28,5.2078
2011-07-29,5.1779
2011-08-01,5.2457
2011-08-02,5.2333
2011-08-03,5.1997
2011-08-04,5.2613
